experiment,checkpoint,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
baseline/epoch20,epoch20,0.25,0.7,0.5,737,760,555,506,49,182,205,0.7854179775392687,0.9117117117117117,0.8394866385372715,0.9117117117117117,0.6865671641791045,0.6657894736842105,0.6760187040748162,0.7530529172320217,0.7302631578947368,0.7414829659318638,506,231,254
baseline/epoch21,epoch21,0.25,0.7,0.5,703,760,548,495,53,155,212,0.7856103251450253,0.9032846715328468,0.8212273181197751,0.9032846715328468,0.7041251778093883,0.6513157894736842,0.6766917293233082,0.7795163584637269,0.7210526315789474,0.7491455912508543,495,208,265
baseline/epoch22,epoch22,0.25,0.7,0.5,804,760,584,531,53,220,176,0.7801634976512766,0.9092465753424658,0.8239204603064073,0.9092465753424658,0.6604477611940298,0.6986842105263158,0.6790281329923273,0.7263681592039801,0.7684210526315789,0.7468030690537084,531,273,229
baseline/epoch23,epoch23,0.25,0.7,0.5,709,760,553,501,52,156,207,0.7798482758442704,0.9059674502712477,0.843422808568339,0.9059674502712477,0.7066290550070522,0.6592105263157895,0.6820966643975493,0.7799717912552891,0.7276315789473684,0.7528931245745406,501,208,259
baseline/epoch24,epoch24,0.25,0.7,0.5,747,760,577,526,51,170,183,0.7760763036109752,0.9116117850953206,0.8458488127505048,0.9116117850953206,0.7041499330655957,0.6921052631578948,0.6980756469807565,0.7724230254350736,0.7592105263157894,0.7657597876575979,526,221,234
baseline/epoch25,epoch25,0.25,0.7,0.5,778,760,566,513,53,212,194,0.7819678943485758,0.9063604240282686,0.8498043213246658,0.9063604240282686,0.6593830334190232,0.675,0.6671001300390118,0.7275064267352185,0.7447368421052631,0.7360208062418726,513,265,247
baseline/epoch26,epoch26,0.25,0.7,0.5,771,760,560,501,59,211,200,0.7811241087104593,0.8946428571428572,0.8252968578735843,0.8946428571428572,0.6498054474708171,0.6592105263157895,0.6544741998693665,0.7263294422827496,0.7368421052631579,0.7315480078380143,501,270,259
baseline/epoch27,epoch27,0.25,0.7,0.5,773,760,577,528,49,196,183,0.7881704637041538,0.9150779896013865,0.8269961133178925,0.9150779896013865,0.6830530401034929,0.6947368421052632,0.6888454011741683,0.7464424320827943,0.7592105263157894,0.7527723418134378,528,245,232
baseline/epoch28,epoch28,0.25,0.7,0.5,740,760,570,510,60,170,190,0.7820809257657905,0.8947368421052632,0.8038559275596591,0.8947368421052632,0.6891891891891891,0.6710526315789473,0.68,0.7702702702702703,0.75,0.7600000000000001,510,230,250
baseline/epoch29,epoch29,0.25,0.7,0.5,768,760,571,519,52,197,189,0.7851447203113402,0.9089316987740805,0.8335192906357083,0.9089316987740805,0.67578125,0.6828947368421052,0.6793193717277487,0.7434895833333334,0.7513157894736842,0.7473821989528795,519,249,241
baseline/epoch30,epoch30,0.25,0.7,0.5,778,760,587,530,57,191,173,0.7800862154521975,0.9028960817717206,0.8249809619041286,0.9028960817717206,0.6812339331619537,0.6973684210526315,0.6892067620286086,0.7544987146529563,0.7723684210526316,0.7633289986996099,530,248,230
baseline/best,best,0.25,0.7,0.5,747,760,577,526,51,170,183,0.7760763036109752,0.9116117850953206,0.8458488127505048,0.9116117850953206,0.7041499330655957,0.6921052631578948,0.6980756469807565,0.7724230254350736,0.7592105263157894,0.7657597876575979,526,221,234
